"AUC","Sensitivity","Specificity","PPV","NPV","F1_Score_Pos","F1_Score_Neg","Accuracy","Kappa","Model"
0.901069659869918,0.770731707317073,0.855633802816901,0.658333333333333,0.911819887429643,0.710112359550562,0.88283378746594,0.833117723156533,0.59396135757477,"CatBoost"
0.864551171430289,0.747747747747748,0.827586206896552,0.636015325670498,0.890625,0.687370600414079,0.857949200376294,0.804657179818887,0.546662782794446,"CatBoost"
0.897618390115145,0.722222222222222,0.880998080614203,0.745901639344262,0.867674858223062,0.733870967741935,0.874285714285714,0.829236739974127,0.608204828899674,"CatBoost"
0.844359533566397,0.634615384615385,0.847787610619469,0.605504587155963,0.863063063063063,0.619718309859155,0.855357142857143,0.790426908150065,0.475185449059134,"CatBoost"
0.866984875720342,0.753694581280788,0.842105263157895,0.62962962962963,0.905660377358491,0.68609865470852,0.872727272727273,0.81888745148771,0.560260056887444,"CatBoost"
0.886457493359739,0.744769874476987,0.840823970037453,0.67680608365019,0.880392156862745,0.709163346613546,0.860153256704981,0.811125485122898,0.56978942713813,"CatBoost"
0.865583279167808,0.684444444444444,0.874087591240876,0.690582959641255,0.870909090909091,0.6875,0.872495446265938,0.81888745148771,0.559999024207779,"CatBoost"
0.846162168930996,0.692660550458716,0.85045045045045,0.645299145299145,0.87569573283859,0.668141592920354,0.862888482632541,0.805950840879689,0.531272739032712,"CatBoost"
0.87531884781022,0.746606334841629,0.820652173913043,0.625,0.889980353634578,0.680412371134021,0.853911404335532,0.799482535575679,0.535991046290523,"CatBoost"
0.877006538133449,0.713692946058091,0.860902255639098,0.699186991869919,0.869070208728653,0.706365503080082,0.864966949952786,0.815006468305304,0.571353231554334,"CatBoost"
0.870151113260438,0.717488789237668,0.861818181818182,0.677966101694915,0.88268156424581,0.697167755991285,0.8721251149954,0.820181112548512,0.56943871192662,"CatBoost"
0.867676977871391,0.69047619047619,0.852575488454707,0.635964912280702,0.880733944954128,0.662100456621004,0.866425992779783,0.808538163001294,0.528841005872808,"CatBoost"
0.892878053961566,0.738938053097345,0.850091407678245,0.670682730923695,0.887404580152672,0.703157894736842,0.868347338935574,0.817593790426908,0.571950343050816,"CatBoost"
0.855000675891735,0.703703703703704,0.833034111310592,0.620408163265306,0.878787878787879,0.65943600867679,0.855299539170507,0.796895213454075,0.515550091212831,"CatBoost"
0.894793295723197,0.682464454976303,0.898576512455516,0.716417910447761,0.882867132867133,0.699029126213592,0.890652557319224,0.839586028460543,0.589769488217621,"CatBoost"
0.846564335992348,0.648888888888889,0.868613138686131,0.669724770642202,0.857657657657658,0.659142212189616,0.86310063463282,0.804657179818887,0.522290751783383,"CatBoost"
