"","AUC","Sensitivity","specificity","PPV","NPV","F1_Score_pos","F1_Score_neg","Accuracy","KAPPA","Model"
"488",0.875782551747273,0.793103448275862,0.77818853974122,0.605263157894737,0.897654584221748,0.686567164179105,0.833663366336634,0.782664941785252,0.52478117040897,"RF25"
"489",0.899251074982121,0.821256038647343,0.803886925795053,0.604982206405694,0.92479674796748,0.69672131147541,0.860113421550095,0.808538163001294,0.56148568362145,"RF25"
"490",0.881879456243602,0.760765550239234,0.820921985815603,0.611538461538462,0.902534113060429,0.678038379530917,0.859795728876509,0.804657179818887,0.540201767136616,"RF25"
"491",0.872743523025156,0.767441860465116,0.806451612903226,0.604395604395604,0.9,0.676229508196721,0.850661625708885,0.795601552393273,0.529953739695344,"RF25"
"492",0.888469176975518,0.779342723004695,0.821428571428571,0.62406015037594,0.907297830374753,0.693110647181628,0.862230552952202,0.809831824062096,0.557771715229752,"RF25"
"493",0.89224908410717,0.816239316239316,0.823747680890538,0.667832167832168,0.91170431211499,0.734615384615385,0.865497076023392,0.821474773609314,0.602128961031211,"RF25"
"494",0.903136496175146,0.783333333333333,0.823639774859287,0.666666666666667,0.894093686354379,0.720306513409962,0.857421875,0.811125485122898,0.579117346520179,"RF25"
"495",0.881226163545515,0.756345177664975,0.817708333333333,0.586614173228347,0.907514450867052,0.660753880266076,0.86027397260274,0.802069857697283,0.524158408671197,"RF25"
"496",0.855425779165269,0.765217391304348,0.788213627992634,0.604810996563574,0.887966804979253,0.675623800383877,0.835121951219512,0.78137128072445,0.51413120692669,"RF25"
"497",0.90838033383524,0.820175438596491,0.81651376146789,0.651567944250871,0.915637860082305,0.72621359223301,0.863239573229874,0.817593790426908,0.59212717468182,"RF25"
"498",0.887391726814871,0.810185185185185,0.798922800718133,0.609756097560976,0.915637860082305,0.695825049701789,0.853307766059444,0.802069857697283,0.553423829931844,"RF25"
"499",0.903264025157572,0.790909090909091,0.837251356238698,0.659090909090909,0.909626719056974,0.71900826446281,0.871939736346516,0.824062095730918,0.592482905121486,"RF25"
"500",0.901923888556804,0.816964285714286,0.816029143897996,0.644366197183099,0.916155419222904,0.720472440944882,0.863198458574181,0.816300129366106,0.586493980079261,"RF25"
"501",0.894237643840199,0.810126582278481,0.811567164179104,0.655290102389078,0.90625,0.724528301886793,0.856299212598425,0.811125485122898,0.583254556733922,"RF25"
"502",0.902679334271365,0.817391304347826,0.823204419889503,0.661971830985915,0.914110429447853,0.731517509727626,0.866279069767442,0.821474773609314,0.599995500258735,"RF25"
"503",0.906587577697272,0.805,0.818499127399651,0.607547169811321,0.923228346456693,0.69247311827957,0.867715078630897,0.815006468305304,0.563854090631103,"RF25"
"504",0.865753150635717,0.780821917808219,0.785198555956679,0.589655172413793,0.900621118012422,0.671905697445972,0.838958534233366,0.783958602846054,0.515491467025976,"RF25"
"505",0.918479903192547,0.830985915492958,0.830357142857143,0.650735294117647,0.92814371257485,0.729896907216495,0.876531573986805,0.830530401034929,0.609072975257979,"RF25"
"506",0.918153965037801,0.81447963800905,0.835144927536232,0.664206642066421,0.918326693227092,0.731707317073171,0.874762808349146,0.829236739974127,0.608358218121243,"RF25"
"507",0.900226673448923,0.794642857142857,0.837887067395264,0.666666666666667,0.909090909090909,0.725050916496945,0.872037914691943,0.825355756791721,0.598521892685254,"RF25"
"508",0.873784443128981,0.777227722772277,0.798598949211909,0.577205882352941,0.910179640718563,0.662447257383966,0.850746268656716,0.793014230271669,0.517843080689553,"RF25"
"509",0.903136178032531,0.792792792792793,0.836660617059891,0.661654135338346,0.909270216962525,0.721311475409836,0.871455576559546,0.824062095730918,0.594288360605125,"RF25"
