"AUC","Sensitivity","Specificity","PPV","NPV","F1_Score_Pos","F1_Score_Neg","Accuracy","KAPPA","Model"
0.907157441574172,0.809756097560976,0.823943661971831,0.62406015037594,0.923076923076923,0.704883227176221,0.870697674418605,0.820181112548512,0.578677217349024,"SMOTE"
0.862184283409814,0.788288288288288,0.800362976406534,0.614035087719298,0.903688524590164,0.690335305719921,0.848893166506256,0.796895213454075,0.542674218358449,"SMOTE"
0.905279375884604,0.805555555555556,0.840690978886756,0.70979020979021,0.899383983572895,0.754646840148699,0.869047619047619,0.829236739974127,0.624494903028742,"SMOTE"
0.846498817166947,0.725961538461538,0.808849557522124,0.583011583011583,0.889105058365759,0.646680942184154,0.84708063021316,0.786545924967659,0.496361259955696,"SMOTE"
0.864946061961131,0.758620689655172,0.812280701754386,0.590038314176245,0.904296875,0.663793103448276,0.855822550831793,0.798188874514877,0.522813071316075,"SMOTE"
0.883704135957443,0.799163179916318,0.803370786516854,0.64527027027027,0.89937106918239,0.714018691588785,0.8486646884273,0.802069857697283,0.565294578173759,"SMOTE"
0.878730686872576,0.768888888888889,0.832116788321168,0.652830188679245,0.897637795275591,0.706122448979592,0.863636363636364,0.813712807244502,0.571085080147965,"SMOTE"
0.850749105940247,0.720183486238532,0.818018018018018,0.608527131782946,0.881553398058252,0.659663865546218,0.848598130841121,0.790426908150065,0.509801925937524,"SMOTE"
0.868641575568838,0.796380090497738,0.78804347826087,0.600682593856655,0.90625,0.684824902723735,0.843023255813953,0.790426908150065,0.532417779370911,"SMOTE"
0.876807510861311,0.788381742738589,0.81203007518797,0.655172413793103,0.894409937888199,0.71563088512241,0.851231527093596,0.804657179818887,0.568783410853286,"SMOTE"
0.878231835203065,0.780269058295964,0.814545454545455,0.630434782608696,0.901408450704225,0.697394789579158,0.85577841451767,0.804657179818887,0.555562747733512,"SMOTE"
0.880249426384074,0.747619047619048,0.841918294849023,0.638211382113821,0.899430740037951,0.68859649122807,0.869724770642202,0.816300129366106,0.559469915880049,"SMOTE"
0.875019301832603,0.778761061946903,0.820840950639854,0.642335766423358,0.899799599198397,0.704,0.858508604206501,0.808538163001294,0.564427455340146,"SMOTE"
0.851863442150235,0.768518518518518,0.779174147217235,0.57439446366782,0.896694214876033,0.657425742574257,0.833813640730067,0.776196636481242,0.496344866807022,"SMOTE"
0.880240721755851,0.734597156398104,0.848754448398576,0.645833333333333,0.894934333958724,0.687361419068736,0.871232876712329,0.817593790426908,0.559344715637799,"SMOTE"
0.861309467862531,0.746666666666667,0.837591240875912,0.653696498054475,0.88953488372093,0.697095435684647,0.862781954887218,0.811125485122898,0.560754429118535,"SMOTE"
0.883961305054492,0.766666666666667,0.845470692717584,0.649193548387097,0.906666666666667,0.703056768558952,0.875,0.824062095730918,0.579275955081361,"SMOTE"
0.892343905937578,0.803030303030303,0.817391304347826,0.602272727272727,0.923379174852652,0.688311688311688,0.867158671586716,0.813712807244502,0.559303513314488,"SMOTE"
0.871985343446126,0.73728813559322,0.82122905027933,0.644444444444444,0.876739562624255,0.687747035573122,0.848076923076923,0.795601552393273,0.536841386737859,"SMOTE"
0.883916238729585,0.769874476987448,0.825842696629214,0.664259927797834,0.889112903225806,0.713178294573643,0.85631067961165,0.808538163001294,0.570655478079426,"SMOTE"
0.881645315514127,0.746606334841629,0.826086956521739,0.632183908045977,0.890625,0.684647302904564,0.857142857142857,0.803363518758085,0.543215252076012,"SMOTE"
0.837004877079286,0.75462962962963,0.782764811490126,0.573943661971831,0.89161554192229,0.652,0.833652007648183,0.77490297542044,0.490159659151214,"SMOTE"
0.845213504231452,0.75,0.787155963302752,0.59581881533101,0.882716049382716,0.664077669902913,0.832201745877789,0.776196636481242,0.499560292340105,"SMOTE"
0.872558913860575,0.742616033755274,0.822761194029851,0.649446494464945,0.878486055776893,0.692913385826772,0.84971098265896,0.798188874514877,0.54362487227037,"SMOTE"
0.895213852495478,0.811059907834101,0.803956834532374,0.617543859649123,0.915983606557377,0.701195219123506,0.85632183908046,0.805950840879689,0.561386917641362,"SMOTE"
0.856147564639584,0.773148148148148,0.784560143626571,0.581881533101045,0.89917695473251,0.664015904572565,0.837967401725791,0.78137128072445,0.506723053977004,"SMOTE"
0.841034370009768,0.729357798165138,0.796396396396396,0.584558823529412,0.882235528942116,0.648979591836735,0.837121212121212,0.777490297542044,0.488980620959497,"SMOTE"
0.867846914675222,0.747899159663866,0.816822429906542,0.644927536231884,0.879275653923541,0.692607003891051,0.846899224806201,0.795601552393273,0.540756394155204,"SMOTE"
0.855779754505944,0.762931034482759,0.805914972273567,0.627659574468085,0.887983706720978,0.688715953307393,0.844961240310078,0.793014230271669,0.535864662218453,"SMOTE"
0.842210183637332,0.775229357798165,0.774774774774775,0.574829931972789,0.897703549060543,0.66015625,0.831721470019342,0.77490297542044,0.497361655056952,"SMOTE"
0.878461367231668,0.764705882352941,0.827768014059754,0.614173228346457,0.907514450867052,0.681222707423581,0.865808823529412,0.811125485122898,0.549292737278456,"SMOTE"
0.875361142067895,0.781512605042017,0.809345794392523,0.645833333333333,0.892783505154639,0.70722433460076,0.849019607843137,0.800776196636481,0.55830210381804,"SMOTE"
0.891194192025658,0.797927461139896,0.825862068965517,0.603921568627451,0.924710424710425,0.6875,0.872495446265938,0.81888745148771,0.563407214955986,"SMOTE"
0.845000724076604,0.776824034334764,0.788888888888889,0.613559322033898,0.891213389121339,0.685606060606061,0.836935166994106,0.785252263906856,0.525931563430547,"SMOTE"
